,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
0,SDSSXCS-1018,1.4293,0.0692,1.314,0.04,0.0932,0.0103,0.738
1,SDSSXCS-10401,1.407,0.0707,1.3241,0.0407,0.0918,0.0101,-0.815
2,SDSSXCS-110,1.4209,0.068,1.309,0.039,0.0906,0.0101,-2.02
3,SDSSXCS-11154,1.4272,0.0689,1.3167,0.0401,0.0927,0.0103,0.236
4,SDSSXCS-1131,1.4303,0.0691,1.3132,0.0399,0.0928,0.0102,0.334
5,SDSSXCS-11331,1.4291,0.0703,1.3133,0.0407,0.0935,0.0103,1.079
6,SDSSXCS-11881,1.4262,0.0694,1.3154,0.0401,0.0928,0.0102,0.282
7,SDSSXCS-123,1.4299,0.0692,1.3124,0.0402,0.0936,0.0102,1.132
8,SDSSXCS-124,1.4306,0.0699,1.3122,0.0399,0.0936,0.0102,1.153
9,SDSSXCS-13,1.4331,0.07,1.3133,0.0399,0.0933,0.0102,0.815
10,SDSSXCS-134,1.4238,0.0695,1.3109,0.0398,0.093,0.0102,0.54
11,SDSSXCS-147,1.4313,0.0696,1.3132,0.0401,0.0934,0.0102,0.967
12,SDSSXCS-15,1.4206,0.0694,1.3186,0.04,0.0923,0.0101,-0.205
13,SDSSXCS-155,1.4411,0.07,1.3134,0.0396,0.0926,0.0102,0.063
14,SDSSXCS-15984,1.429,0.0695,1.312,0.04,0.0935,0.0102,1.111
15,SDSSXCS-1628,1.4348,0.0693,1.3082,0.0402,0.0931,0.0103,0.601
16,SDSSXCS-16286,1.4247,0.0694,1.3159,0.0399,0.0926,0.0102,0.071
17,SDSSXCS-1645,1.4304,0.0693,1.3144,0.0401,0.0932,0.0103,0.785
18,SDSSXCS-165,1.4365,0.0701,1.3088,0.0402,0.0931,0.0102,0.614
19,SDSSXCS-176,1.4425,0.068,1.3033,0.0392,0.0902,0.01,-2.442
20,SDSSXCS-1884,1.4293,0.069,1.3151,0.0398,0.0925,0.0101,-0.056
21,SDSSXCS-189,1.4366,0.0695,1.3138,0.0399,0.0927,0.0102,0.262
22,SDSSXCS-19,1.4338,0.0696,1.3142,0.0399,0.093,0.0102,0.56
23,SDSSXCS-2,1.4251,0.0712,1.3125,0.04,0.0934,0.0102,1.005
24,SDSSXCS-2032,1.4321,0.0693,1.3093,0.04,0.0932,0.0102,0.747
25,SDSSXCS-209,1.4196,0.0699,1.3116,0.0396,0.0927,0.0102,0.244
26,SDSSXCS-210,1.4297,0.0692,1.3135,0.0399,0.0929,0.0102,0.381
27,SDSSXCS-212,1.4224,0.069,1.3185,0.04,0.0922,0.0102,-0.286
28,SDSSXCS-22,1.4274,0.0695,1.3111,0.0399,0.0934,0.0102,0.933
29,SDSSXCS-226,1.4288,0.0701,1.3121,0.04,0.0935,0.0102,1.039
30,SDSSXCS-2282,1.4238,0.0689,1.3188,0.0398,0.0918,0.01,-0.752
